stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
38;60;80;70;808097.026;9639997.29;5.31;473;91;0.72;0.11;4.3494760312;7.1;0.7;0.4;0
38;80;100;90;808097.026;9639997.29;5.25;520.5;87;0.56;0.11;2.9894760312;6.8;0.9;0.3;0
39;0;20;10;808136.532;9639965.189;4.86;222;74;0.64;0.56;3.9033221851;15;0.6;0.3;0.05
39;20;40;30;808136.532;9639965.189;5.16;313.5;104;0.66;0.2;4.112296544;8;0.7;0.4;0
39;40;60;50;808136.532;9639965.189;5.23;466.5;78;0.55;0.25;2.5320401338;6.9;0.8;0.5;0
39;60;80;70;808136.532;9639965.189;5.27;489.5;79;0.52;0.35;2.4294760312;5.7;0.8;0.3;0
39;80;100;90;808136.532;9639965.189;5.24;554.5;85;0.47;0.39;3.3594760312;5.1;0.8;0.2;0
40;0;20;10;808035.178;9639902.643;4.3;353;88;0.56;0.21;4.4202229654;18.8;0.8;0.3;0
40;20;40;30;808035.178;9639902.643;4.45;502;63;0.28;0.07;6.2120289855;12.2;0.8;0.2;0
40;40;60;50;808035.178;9639902.643;4.67;618;75;0.33;0.05;3.9797324415;9;1;0.2;0
40;60;80;70;808035.178;9639902.643;4.81;643.5;82;0.42;0.04;3.3620401338;5.3;1;0.3;0
40;80;100;90;808035.178;9639902.643;4.88;655;83;0.49;0.04;2.6420401338;5.9;0.8;0.2;0
42;0;20;10;808167.741;9640007.549;5.09;249;57;1.05;0.57;6.7005016722;13.4;0.7;0.4;0.28
42;20;40;30;808167.741;9640007.549;5.03;334.5;61;0.68;0.32;4.8197324415;11.1;0.7;0.3;0.14
42;40;60;50;808167.741;9640007.549;5.15;460;66;0.78;0.32;2.7120401338;7.9;0.7;0.3;0
42;60;80;70;808167.741;9640007.549;5.22;526;79;0.81;0.15;2.5994760312;5.4;0.8;0.3;0
42;80;100;90;808167.741;9640007.549;5.2;507;102;0.79;0.14;2.9894760312;4.7;0.8;0.3;0
